test_id,gene_id,gene,locus,sample_1,sample_2,status,value_1,value_2,log2(fold_change),test_stat,p_value,q_value,significant
ABCA7,ABCA7,ABCA7,chr19:1040102-1065571,WT,DSL3,NOTEST,0.622349,0.440532,-0.498474,0,1,1,no
ABCA8,ABCA8,ABCA8,chr17:68867286-68955392,WT,DSL3,NOTEST,0,0,0,0,1,1,no
ABCA9,ABCA9,ABCA9,chr17:68974631-69060995,WT,DSL3,NOTEST,0,0.0519243,inf,0,1,1,no
ABCA9-AS1,ABCA9-AS1,ABCA9-AS1,chr17:68974631-69060995,WT,DSL3,NOTEST,0,0,0,0,1,1,no
ABCB1,ABCB1,ABCB1,chr7:87503862-87832298,WT,DSL3,NOTEST,0,0,0,0,1,1,no
ABCB10,ABCB10,ABCB10,chr1:229516581-229558695,WT,DSL3,OK,4.22979,5.89674,0.47933,1.67161,0.0045,0.0108762,yes
ABCB11,ABCB11,ABCB11,chr2_GL383522v1_alt:109565-123061,WT,DSL3,NOTEST,0,0,0,0,1,1,no
ABCB4,ABCB4,ABCB4,chr7:87402044-87475703,WT,DSL3,NOTEST,0,0,0,0,1,1,no
ABCB5,ABCB5,ABCB5,chr7:20615621-20757014,WT,DSL3,NOTEST,0,0,0,0,1,1,no
ABCB6,ABCB6,ABCB6,chr2:219209765-219218990,WT,DSL3,OK,5.56203,6.52816,0.231066,0.744923,0.2044,0.287944,no
ABCB7,ABCB7,ABCB7,chrX:75053171-75156340,WT,DSL3,OK,6.33186,3.96426,-0.675578,-1.84061,0.00135,0.00375823,yes
ABCB8,ABCB8,ABCB8,chr7:151028421-151047782,WT,DSL3,NOTEST,2.65457,3.05076,0.200686,0,1,1,no
ABCB9,ABCB9,ABCB9,chr12:122920950-122966509,WT,DSL3,OK,3.937,1.84754,-1.09149,-1.79839,0.00055,0.00168203,yes
ABCC1,ABCC1,ABCC1,chr16_KI270853v1_alt:1607546-1800965,WT,DSL3,OK,8.63897,5.95292,-0.537261,-2.52866,5.00E-05,0.000189718,yes
ABCC10,ABCC10,ABCC10,chr6:43427553-43456632,WT,DSL3,NOTEST,2.26646,2.25592,-0.00672407,0,1,1,no
ABCC11,ABCC11,ABCC11,chr16:48166910-48235177,WT,DSL3,NOTEST,0.0273678,0,#NAME?,0,1,1,no
ABCC12,ABCC12,ABCC12,chr16:48082972-48146770,WT,DSL3,NOTEST,0,0,0,0,1,1,no
ABCC13,ABCC13,ABCC13,chr21:14273798-14301371,WT,DSL3,NOTEST,0,0,0,0,1,1,no
ABCC2,ABCC2,ABCC2,chr10:99782597-99852192,WT,DSL3,NOTEST,0.451619,0.803673,0.831503,0,1,1,no
ABCC3,ABCC3,ABCC3,chr17:50634856-50691702,WT,DSL3,NOTEST,0.779122,3.09338,1.98926,0,1,1,no
ABCC4,ABCC4,ABCC4,chr13:95019828-95301446,WT,DSL3,OK,5.07868,13.8739,1.44985,5.75143,5.00E-05,0.000189718,yes
ABCC5,ABCC5,ABCC5,chr3:183919935-184017939,WT,DSL3,OK,5.63631,5.55581,-0.0207536,-0.0654493,0.905,0.929185,no
ABCC5-AS1,ABCC5-AS1,ABCC5-AS1,chr3:183919935-184017939,WT,DSL3,NOTEST,0.455822,0,#NAME?,0,1,1,no
ABCC6,ABCC6,ABCC6,chr16_KI270853v1_alt:1807490-1881466,WT,DSL3,NOTEST,0.0272803,0,#NAME?,0,1,1,no
ABCC6P1,ABCC6P1,ABCC6P1,chr16:18571247-18598285,WT,DSL3,NOTEST,0,0,0,0,1,1,no
ABCC6P2,ABCC6P2,ABCC6P2,chr16_KI270853v1_alt:962182-964453,WT,DSL3,NOTEST,0,0,0,0,1,1,no
ABCC8,ABCC8,ABCC8,chr11:17392884-17476845,WT,DSL3,NOTEST,0,0,0,0,1,1,no
ABCC9,ABCC9,ABCC9,chr12:21797389-21936694,WT,DSL3,NOTEST,0,0.0381835,inf,0,1,1,no
ABCD1,ABCD1,ABCD1,chrX:153724867-153744762,WT,DSL3,NOTEST,2.96283,1.60346,-0.885787,0,1,1,no
ABCD2,ABCD2,ABCD2,chr12:39551219-39620041,WT,DSL3,NOTEST,0,0,0,0,1,1,no
ABCD3,ABCD3,ABCD3,chr1:94418376-94518663,WT,DSL3,OK,16.7687,14.7001,-0.189951,-0.788088,0.1721,0.250268,no
ABCD4,ABCD4,ABCD4,chr14:74285276-74303064,WT,DSL3,NOTEST,2.03477,1.32578,-0.618022,0,1,1,no
ABCE1,ABCE1,ABCE1,chr4:144994574-145129524,WT,DSL3,OK,31.2621,36.4929,0.223198,1.14339,0.0546,0.0953325,no
ABCF1,ABCF1,ABCF1,chr6_GL000256v2_alt:1872149-1892288,WT,DSL3,OK,28.5487,31.0874,0.122901,0.693195,0.2284,0.314048,no
ABCF2,ABCF2,ABCF2,chr7:151207836-151227374,WT,DSL3,OK,33.1221,31.7291,-0.0619887,-0.30929,0.58995,0.674978,no
ABCF3,ABCF3,ABCF3,chr3:184186074-184194007,WT,DSL3,OK,16.6598,18.6092,0.159647,0.676582,0.2434,0.330909,no
ABCG1,ABCG1,ABCG1,chr21:42199688-42297244,WT,DSL3,NOTEST,0,0,0,0,1,1,no
ABCG2,ABCG2,ABCG2,chr4:88090263-88231322,WT,DSL3,NOTEST,0,0.197115,inf,0,1,1,no
ABCG4,ABCG4,ABCG4,chr11:119149039-119162665,WT,DSL3,NOTEST,0.0494072,0.0798438,0.69246,0,1,1,no
ABCG5,ABCG5,ABCG5,chr2:43812471-43838819,WT,DSL3,NOTEST,0,0,0,0,1,1,no
ABCG8,ABCG8,ABCG8,chr2:43838963-43878466,WT,DSL3,NOTEST,0,0,0,0,1,1,no
ABHD1,ABHD1,ABHD1,chr2:27123788-27134674,WT,DSL3,NOTEST,0.124868,0.145563,0.221237,0,1,1,no
ABHD10,ABHD10,ABHD10,chr3:111978875-111993368,WT,DSL3,OK,14.8818,20.2807,0.446564,2.24666,0.00035,0.00111977,yes
ABHD11,ABHD11,ABHD11,chr7:73736094-73738867,WT,DSL3,OK,8.79949,6.57761,-0.419857,-0.836262,0.0906,0.146809,no
ABHD11-AS1,ABHD11-AS1,ABHD11-AS1,chr7:73735068-73736000,WT,DSL3,NOTEST,0.498627,0.275315,-0.856876,0,1,1,no
ABHD12,ABHD12,ABHD12,chr20:25248069-25390982,WT,DSL3,OK,20.3327,21.0943,0.0530527,0.0993841,0.865,0.900091,no
ABHD12B,ABHD12B,ABHD12B,chr14:50872159-50904970,WT,DSL3,NOTEST,0.150921,0.430295,1.51153,0,1,1,no
ABHD13,ABHD13,ABHD13,chr13:108218414-108234255,WT,DSL3,NOTEST,0.88878,3.22018,1.85724,0,1,1,no
ABHD14A,ABHD14A,ABHD14A,chr3:51975025-51989202,WT,DSL3,OK,9.9873,8.99586,-0.150834,-0.256711,0.64895,0.726375,no
ABHD14A-ACY1,ABHD14A-ACY1,ABHD14A-ACY1,chr3:51975025-51989202,WT,DSL3,NOTEST,0.00298179,0.112469,5.2372,0,1,1,no
ABHD14B,ABHD14B,ABHD14B,chr3:51968509-51974630,WT,DSL3,OK,9.68862,7.73261,-0.325335,-0.853066,0.10055,0.160471,no
ABHD15,ABHD15,ABHD15,chr17:29560670-29567024,WT,DSL3,OK,4.15756,1.61817,-1.36138,-2.88339,5.00E-05,0.000189718,yes
ABHD16A,ABHD16A,ABHD16A,chr6_GL000256v2_alt:2986233-3002657,WT,DSL3,OK,5.97764,10.1041,0.757285,1.83968,0.0016,0.0043652,yes
ABHD16B,ABHD16B,ABHD16B,chr20:63861212-63862988,WT,DSL3,OK,7.61219,3.58273,-1.08725,-1.67889,0.01325,0.028072,yes
ABHD17A,ABHD17A,ABHD17A,chr19:1876975-1885519,WT,DSL3,OK,19.4871,14.2647,-0.450074,-1.29586,0.0334,0.0628418,no
ABHD17B,ABHD17B,ABHD17B,chr9:71862451-71911232,WT,DSL3,OK,8.02152,6.21943,-0.367094,-0.827971,0.1314,0.200202,no
ABHD17C,ABHD17C,ABHD17C,chr15:80695310-80755621,WT,DSL3,NOTEST,2.36113,1.21531,-0.958157,0,1,1,no
ABHD2,ABHD2,ABHD2,chr15:89088149-89202360,WT,DSL3,OK,6.27855,5.56498,-0.174057,-0.855227,0.1405,0.211992,no
ABHD3,ABHD3,ABHD3,chr18:21650896-21704805,WT,DSL3,OK,3.79388,3.57809,-0.0844819,-0.167424,0.75875,0.816689,no
ABHD4,ABHD4,ABHD4,chr14:22598237-22612359,WT,DSL3,NOTEST,2.66065,0.849611,-1.64691,0,1,1,no
ABHD5,ABHD5,ABHD5,chr3:43690882-43722725,WT,DSL3,NOTEST,2.76195,3.09661,0.165,0,1,1,no
ABHD6,ABHD6,ABHD6,chr3:58237531-58294734,WT,DSL3,NOTEST,2.66181,2.00344,-0.409927,0,1,1,no
ABHD8,ABHD8,ABHD8,chr19:17292130-17303473,WT,DSL3,OK,6.67935,6.98246,0.0640287,0.155742,0.80375,0.852549,no
ABI1,ABI1,ABI1,chr10:26697665-26861087,WT,DSL3,OK,11.6145,8.49764,-0.450793,-1.81666,0.00135,0.00375823,yes
ABI2,ABI2,ABI2,chr2:203328238-203432173,WT,DSL3,OK,6.53916,5.91095,-0.145716,-0.67328,0.23645,0.323193,no
ABI3,ABI3,ABI3,chr17:49206233-49223225,WT,DSL3,NOTEST,0,0,0,0,1,1,no
ABI3BP,ABI3BP,ABI3BP,chr3:100749334-100993490,WT,DSL3,OK,0.370799,4.40141,3.56926,4.59419,5.00E-05,0.000189718,yes
ABL1,ABL1,ABL1,chr9:130713880-130887675,WT,DSL3,OK,19.214,21.5141,0.163127,0.875156,0.1327,0.201698,no
ABL2,ABL2,ABL2,chr1:179099326-179229684,WT,DSL3,OK,18.8009,23.2403,0.305821,1.09228,0.06225,0.106469,no
ABLIM1,ABLIM1,ABLIM1,chr10:114431109-114684655,WT,DSL3,OK,3.82714,0.873643,-2.13115,-5.15099,5.00E-05,0.000189718,yes
ABLIM2,ABLIM2,ABLIM2,chr4:7965309-8158832,WT,DSL3,NOTEST,0,0,0,0,1,1,no
ABLIM3,ABLIM3,ABLIM3,chr5:149141482-149260438,WT,DSL3,NOTEST,1.25541,0.021994,-5.83491,0,1,1,no
ABO,ABO,ABO,chr9:133255175-133275214,WT,DSL3,NOTEST,0,0,0,0,1,1,no
ABR,ABR,ABR,chr17_KI270910v1_alt:42764-149117,WT,DSL3,OK,20.5275,5.82519,-1.81718,-7.83303,5.00E-05,0.000189718,yes
ABRA,ABRA,ABRA,chr8:106759482-106770244,WT,DSL3,NOTEST,0.028537,0.180908,2.66435,0,1,1,no
ABRACL,ABRACL,ABRACL,chr6:139028681-139043302,WT,DSL3,OK,42.5177,19.503,-1.12437,-3.98715,5.00E-05,0.000189718,yes
ABT1,ABT1,ABT1,chr6:26596942-26600049,WT,DSL3,OK,8.83702,8.75834,-0.0129034,-0.0434571,0.92935,0.947608,no
ABTB1,ABTB1,ABTB1,chr3:127672937-127680926,WT,DSL3,NOTEST,1.27422,0.525629,-1.2775,0,1,1,no
ABTB2,ABTB2,ABTB2,chr11:34150986-34358008,WT,DSL3,OK,2.50296,4.13028,0.722603,2.05461,0.00095,0.00274365,yes
ACAA1,ACAA1,ACAA1,chr3:38039204-38137242,WT,DSL3,OK,9.06423,8.76085,-0.0491139,-0.124278,0.80785,0.855826,no
ACAA2,ACAA2,ACAA2,chr18:49783503-49813881,WT,DSL3,OK,18.1068,12.0689,-0.585243,-2.36255,0.0001,0.000361213,yes
ACACA,ACACA,ACACA,chr17_KI270857v1_alt:1320991-1645967,WT,DSL3,OK,13.7624,9.06235,-0.602774,-3.18912,5.00E-05,0.000189718,yes
ACACB,ACACB,ACACB,chr12:109139396-109268225,WT,DSL3,NOTEST,0.364968,0.450926,0.305122,0,1,1,no
ACAD10,ACAD10,ACAD10,chr12:111686052-111757107,WT,DSL3,NOTEST,2.39429,2.91996,0.286348,0,1,1,no
ACAD11,ACAD11,ACAD11,chr3:132558137-132874206,WT,DSL3,OK,5.48757,9.46691,0.786726,2.13005,0.0005,0.00154241,yes
ACAD8,ACAD8,ACAD8,chr11:134253539-134265852,WT,DSL3,OK,5.32873,4.0522,-0.395085,-0.967945,0.0941,0.151623,no
ACAD9,ACAD9,ACAD9,chr3:128879489-128913114,WT,DSL3,OK,20.3396,23.7858,0.225812,1.09665,0.05845,0.101061,no
ACADL,ACADL,ACADL,chr2:210187991-210225491,WT,DSL3,NOTEST,0,0,0,0,1,1,no
ACADM,ACADM,ACADM,chr1:75724346-75763678,WT,DSL3,OK,16.9749,23.1021,0.444624,2.10624,0.0004,0.001262,yes
ACADS,ACADS,ACADS,chr12:120725737-120740008,WT,DSL3,NOTEST,1.02668,0.342384,-1.5843,0,1,1,no
ACADSB,ACADSB,ACADSB,chr10:123008912-123058290,WT,DSL3,NOTEST,0.996437,0.384569,-1.37354,0,1,1,no
ACADVL,ACADVL,ACADVL,chr17:7189890-7225267,WT,DSL3,OK,54.1315,41.0215,-0.400089,-2.08297,0.00055,0.00168203,yes
ACAN,ACAN,ACAN,chr15:88803442-88875354,WT,DSL3,NOTEST,0,0,0,0,1,1,no
ACAP1,ACAP1,ACAP1,chr17:7336528-7351474,WT,DSL3,NOTEST,0.140198,0.123274,-0.185593,0,1,1,no
ACAP2,ACAP2,ACAP2,chr3:195274735-195443088,WT,DSL3,OK,7.85635,10.7027,0.446041,2.48053,5.00E-05,0.000189718,yes
ACAP3,ACAP3,ACAP3,chr1:1292383-1307889,WT,DSL3,OK,4.34259,6.44788,0.570269,1.70661,0.0069,0.0158441,yes
ACAT1,ACAT1,ACAT1,chr11:108121530-108148164,WT,DSL3,OK,45.4604,64.6896,0.508924,3.06654,5.00E-05,0.000189718,yes
ACAT2,ACAT2,ACAT2,chr6:159760258-159789703,WT,DSL3,OK,44.1474,47.0796,0.0927753,0.188943,0.74995,0.810498,no
ACBD3,ACBD3,ACBD3,chr1:226144678-226186722,WT,DSL3,OK,10.5379,23.0045,1.12633,5.81998,5.00E-05,0.000189718,yes
ACBD4,ACBD4,ACBD4,chr17:45132599-45144176,WT,DSL3,NOTEST,0.903521,0.482359,-0.90545,0,1,1,no
ACBD5,ACBD5,ACBD5,chr10:27195213-27242139,WT,DSL3,OK,9.16471,9.98705,0.12397,0.56465,0.3369,0.432892,no
ACBD6,ACBD6,ACBD6,chr1:180288216-180502887,WT,DSL3,OK,16.7888,27.5891,0.716605,2.85878,5.00E-05,0.000189718,yes
ACBD7,ACBD7,ACBD7,chr10:15075474-15088776,WT,DSL3,NOTEST,0.822638,0.25654,-1.68108,0,1,1,no
ACCS,ACCS,ACCS,chr11:44066178-44084019,WT,DSL3,NOTEST,0.290217,0.215747,-0.427789,0,1,1,no
ACCSL,ACCSL,ACCSL,chr11:44047980-44059977,WT,DSL3,NOTEST,0,0,0,0,1,1,no
ACD,ACD,ACD,chr16:67645126-67660815,WT,DSL3,OK,9.71887,5.77688,-0.750499,-1.90765,0.0017,0.00461391,yes
ACE,ACE,ACE,chr17:63477060-63498380,WT,DSL3,NOTEST,0.0786461,0.34262,2.12316,0,1,1,no
ACE2,ACE2,ACE2,chrX:15561032-15602069,WT,DSL3,NOTEST,0,0,0,0,1,1,no
ACER1,ACER1,ACER1,chr19:6306498-6333629,WT,DSL3,NOTEST,0,0,0,0,1,1,no
ACER2,ACER2,ACER2,chr9:19408926-19452502,WT,DSL3,NOTEST,0.747831,0.853446,0.190587,0,1,1,no
ACER3,ACER3,ACER3,chr11:76860872-77026797,WT,DSL3,OK,3.02083,4.53332,0.585623,2.44366,5.00E-05,0.000189718,yes
ACHE,ACHE,ACHE,chr7:100889993-100896133,WT,DSL3,NOTEST,0.442159,0.928706,1.07066,0,1,1,no
ACIN1,ACIN1,ACIN1,chr14:23058564-23100456,WT,DSL3,OK,24.0019,23.9355,-0.00399354,-0.0135132,0.9792,0.983856,no
ACKR1,ACKR1,ACKR1,chr1:159204012-159206500,WT,DSL3,NOTEST,0,0,0,0,1,1,no
ACKR2,ACKR2,ACKR2,chr3:42809471-42867283,WT,DSL3,NOTEST,0,0.0238322,inf,0,1,1,no
ACKR3,ACKR3,ACKR3,chr2:236569736-236582351,WT,DSL3,OK,1.78392,7.27301,2.0275,3.54497,5.00E-05,0.000189718,yes
ACKR4,ACKR4,ACKR4,chr3:132558137-132874206,WT,DSL3,NOTEST,0.0416473,0.200141,2.26472,0,1,1,no
ACLY,ACLY,ACLY,chr17:41866916-41919022,WT,DSL3,OK,72.0512,49.5027,-0.541516,-2.65903,5.00E-05,0.000189718,yes
ACMSD,ACMSD,ACMSD,chr2:134838615-134918606,WT,DSL3,NOTEST,0,0,0,0,1,1,no
ACO1,ACO1,ACO1,chr9:32384602-32450834,WT,DSL3,OK,14.4522,13.3013,-0.11972,-0.564655,0.3305,0.426211,no
ACO2,ACO2,ACO2,chr22:41469124-41544606,WT,DSL3,OK,23.1887,39.9481,0.784701,3.0696,5.00E-05,0.000189718,yes
ACOT1,ACOT1,ACOT1,chr14:73478483-73558947,WT,DSL3,NOTEST,1.00181,1.16148,0.213352,0,1,1,no
ACOT11,ACOT11,ACOT11,chr1:54548133-54634744,WT,DSL3,NOTEST,0.631176,0.583087,-0.114333,0,1,1,no
ACOT12,ACOT12,ACOT12,chr5:81330127-81394169,WT,DSL3,NOTEST,0,0,0,0,1,1,no
ACOT13,ACOT13,ACOT13,chr6:24667034-24719175,WT,DSL3,OK,5.33435,6.09893,0.193244,0.401727,0.4769,0.570801,no
ACOT2,ACOT2,ACOT2,chr14:73567619-73575658,WT,DSL3,OK,9.59584,4.86697,-0.979383,-2.17467,0.0007,0.00209034,yes
ACOT4,ACOT4,ACOT4,chr14:73591705-73595766,WT,DSL3,OK,4.47944,1.04734,-2.09659,-2.18082,0.01005,0.0220014,yes
ACOT6,ACOT6,ACOT6,chr14:73616843-73619888,WT,DSL3,NOTEST,0.333069,0.0693227,-2.26442,0,1,1,no
ACOT7,ACOT7,ACOT7,chr1:6264271-6393766,WT,DSL3,OK,43.5448,10.0059,-2.12165,-9.94148,5.00E-05,0.000189718,yes
ACOT8,ACOT8,ACOT8,chr20:45833830-45857409,WT,DSL3,OK,12.5273,13.8203,0.141715,0.359235,0.57965,0.665769,no
ACOT9,ACOT9,ACOT9,chrX:23703659-23743290,WT,DSL3,OK,19.9882,10.8585,-0.880325,-5.39217,5.00E-05,0.000189718,yes
ACOX1,ACOX1,ACOX1,chr17:75941510-76005999,WT,DSL3,OK,3.90939,3.58504,-0.124953,-0.476962,0.4073,0.504506,no
ACOX2,ACOX2,ACOX2,chr3:58505135-58537202,WT,DSL3,NOTEST,0,0.0874007,inf,0,1,1,no
ACOX3,ACOX3,ACOX3,chr4:8366281-8440725,WT,DSL3,NOTEST,1.99523,3.5627,0.836418,0,1,1,no
ACOXL,ACOXL,ACOXL,chr2:110732572-111118222,WT,DSL3,NOTEST,0,0,0,0,1,1,no
ACP1,ACP1,ACP1,chr2:264868-278282,WT,DSL3,OK,19.8893,21.2122,0.0929034,0.323172,0.56835,0.65559,no
ACP2,ACP2,ACP2,chr11:47239301-47269033,WT,DSL3,OK,7.87866,14.1275,0.842486,2.44927,5.00E-05,0.000189718,yes
ACP5,ACP5,ACP5,chr19:11574659-11578986,WT,DSL3,NOTEST,0,0,0,0,1,1,no
ACP6,ACP6,ACP6,chr1:147647365-147670512,WT,DSL3,NOTEST,0.677611,0.493866,-0.456338,0,1,1,no
ACPP,ACPP,ACPP,chr3:132317366-132368302,WT,DSL3,NOTEST,0,0.0683143,inf,0,1,1,no
ACPT,ACPT,ACPT,chr19:50790414-50795224,WT,DSL3,NOTEST,0,0.531444,inf,0,1,1,no
ACR,ACR,ACR,chr22:50738223-50745299,WT,DSL3,NOTEST,0,0,0,0,1,1,no
ACRBP,ACRBP,ACRBP,chr12:6638075-6647414,WT,DSL3,NOTEST,0,0,0,0,1,1,no
ACRC,ACRC,ACRC,chrX:71578023-71613583,WT,DSL3,NOTEST,0.599469,0.376161,-0.672336,0,1,1,no
ACRV1,ACRV1,ACRV1,chr11:125625135-125680898,WT,DSL3,NOTEST,0.137068,0.287642,1.06939,0,1,1,no
ACSBG1,ACSBG1,ACSBG1,chr15:78170844-78234707,WT,DSL3,NOTEST,0.0667933,0,#NAME?,0,1,1,no
ACSBG2,ACSBG2,ACSBG2,chr19:6135632-6193103,WT,DSL3,NOTEST,0,0.0956849,inf,0,1,1,no
ACSF2,ACSF2,ACSF2,chr17:50426157-50474845,WT,DSL3,NOTEST,1.24336,1.13825,-0.127435,0,1,1,no
ACSF3,ACSF3,ACSF3,chr16:89093808-89155846,WT,DSL3,OK,4.34257,2.77864,-0.644169,-1.43361,0.0053,0.0125366,yes
ACSL1,ACSL1,ACSL1,chr4:184755594-184826114,WT,DSL3,OK,10.0648,7.046,-0.514436,-2.12775,0.0002,0.000675933,yes
